no,칸,문장,판정(positive/negative/neutral),메모
421,장점,기재할 사항 없습니다,,
422,단점,주변 동료와 어울리지 못하며 다혈질적인 성격을 가짐,,
423,장점,전문성을 바탕으로 업무 해결능력이 탁월함,,
424,단점,직원 의견을 골고루 수렴,,
425,장점,"담당업무에 대한 전문성, 책임감 우수",,
426,단점,"부서원의 말 경청, 세대간 이해 필요",,
427,단점,아직 느껴진 부분이 없음,,
428,단점,매우 세세하게 지시하시는 경향이 있음,,
429,단점,추가보완사항없음,,
430,장점,직무분야에 대한 전문성이 우수함,,
431,장점,따뜻한 성품을 가지셨습니다,,
432,단점,부드러운 리더십보다 강한 카리스마를 보여줄 필요가 있음,,
433,장점,"항상 상대방을 먼저 배려해주시고, 계통 업무에 대한 전문지식 및 상황대처가 훌륭하십니다",,
434,장점,간호사의 소임을 충실히 잘함,,
435,장점,매사에 꼼꼼하시고 열심히 하십니다,,
436,장점,원만한고 배려깊은 마인드로 대내외 협업업무에 장점이 있으며 업무에 있어서 책임감이 강함,,
437,장점,업무에 있어서 능숙하게 처리함,,
438,장점,우선순위를 정하여 해결책을 제시하며 솔선수범으로 어려움 극복,,
439,장점,어려운 일을 도맡아 함,,
440,단점,보안 할 점이 없습니다,,
441,장점,같은 직원이지만 책임감과 열정을 가지고 업무하는 모습에 감동하였고 배우고 싶다는 생각을 함,,
442,단점,단점으로 말할게 딱히 없음,,
443,단점,타팀과 협업할 기회가 많지않음,,
444,장점,평소 세심한 관리를 통해 지사 전반업무 살펴보고 있음,,
445,장점,"항상 솔선수범하여 어려운 일들을 해내고 적극적인 마인드로 책임감을 가지고 업무를 수행하는 모습이 모범이 됩니다 상, 하 직원간 원활한 교류를 통해 문제를 해결하는 능력이 매우 뛰어납니다",,
446,장점,업무처리를 센스가 있게 잘 함,,
447,장점,섬세하고 꼼꼼한 업무처리 및 서면작성,,
448,장점,대인관계 능력이 우수,,
449,단점,윤리의식이 강해서 협업능력을 중요시 합니다,,
450,단점,나무랄데 없이 역할을 해냄,,
451,장점,"부드러운 리더십, 솔선수범하는 자세, 비전과 정책을 명확히 제시, 업무 중요성 판단 능력이 뛰어남",,
452,장점,일정대로 프로젝트 추진하는 능력이 뛰어남,,
453,단점,부서원과 의사소통이 부족함,,
454,장점,"설비보강 업무에 전문성 및 열의가 있으며, 내부평가에 기여",,
455,단점,높은 윤리의식을 바탕으로 민원인과 소통함,,
456,단점,다양한 민원과 고객응대에 최선을 다하고 있음,,
457,장점,담당업무에 대한 이해도가 높고 매사 배움의 자세로 열정적으로 업무에 임함,,
458,장점,업무에 능통하고 계신것 같습니다,,
459,단점,개인의 업무실적 향상에 노력해야 함,,
460,단점,업무관련 해외사례 등 다양한 방면의 지식 습득 필요,,
461,장점,조직 장악력과 정보 수집능력,,
462,장점,훌륭히 한해 열심히 해주셨습니다,,
463,단점,본인업무만 열중하고 있어 연구원의 큰 테두리를 보지 못하는 경향이 있어 업무의 프로세스를 이해하고 방향을 파악하면 좋을 것으로 생각됨,,
464,장점,의사소통이 부드럽게 잘되고 업무적 능력이 상당히 좋음,,
465,장점,실무경험이 많아 민원응대나 업무관련 능력이 매우 뛰어남,,
466,장점,맡은일에 대해서 열심히 일함,,
467,장점,윤리의식 과 협업능력이 뛰어남,,
468,단점,전문지식 습득을 위해 노력하며 부서원들과 유대관계 형성을 위해 노력함,,
469,단점,실무경험이 좀 더 쌓이면 타부서 협업 등 탁월한 성과를 도출할 것으로 보임,,
470,장점,매사에 적극적이며 업무처리속도가 빠름,,
471,단점,부드러운 분위기를 이끔,,
472,장점,부드러운 리더쉽으로 직원 한 명 한 명 꼼꼼하게 챙기심,,
473,장점,부서목표 달성을 위해 최선의 노력을 기울입니다,,
474,단점,말투로 인해 다른사람이 오해 할 수 있습니다,,
475,장점,"모든 면에서 최선을 다하고, 민원응대에 탁월한 능력을 갖춘 직원임",,
476,장점,타부서에 협조적이며 총무로서 업무를 신속히 수행함,,
477,장점,"업무에 대한 전문성이 높으며, 부하직원에 배려를 잘 합니다",,
478,장점,같이 근무해본적이 없어서 잘 모르겠습니다,,
479,장점,맡은 업무의 책임감이 뛰어남,,
480,장점,업무에 적극적이며 청렴함이 좋다,,
481,장점,"매사에 묵묵하고 성실하게 맡은바 업무를 충실하게 수행하면, 주면 동료들과도 좋은 협업관계를 유지해 나가며 잘 생활함",,
482,장점,친절하고 관계의 평행을 잘 유지함,,
483,장점,"풍부한 지식과 온화한 성품으로 조직을 관리하시고, 조직원들의 단합을 잘 유도함",,
484,장점,직&#50899;들에게 잘대해주며 먹을걸 잘챙겨줍니다,,
485,단점,무능력하고 파트 업무에 관심이 없음,,
486,장점,탁월한 리더십으로 직원들의 사기를 진작시키고 부족한 부분은 메워주시는 모습으로 좋은 성과를 항상 보여주셔서 장점이라고 생각합니다,,
487,장점,"업무뿐만 아니라 직원들의 고충을 잘 들어주시고,",,
488,장점,업무지시를 자주 진행합니다,,
489,장점,항상 웃는 얼굴로 밝은 에너지를 전파,,
490,단점,직원들을 좀더 적극적으로 대변 했으면 합니다,,
491,단점,신속한 의사결정력 결여,,
492,단점,동료과 친목이 좋고 적극적인 자세가 좋음,,
493,장점,피드백이 빠릅니다,,
494,단점,성실히 일하는 모습과 역량이 과소평가 되고 있음,,
495,장점,업무 미루기를 잘함,,
496,단점,실효적인 업무 능력이 아쉬움,,
497,장점,다양한 사고를 가지고 있음,,
498,장점,업무열의가 뛰어나고 일을 미루지 않음,,
499,장점,성실하고 전문성이 있음,,
500,장점,"부드러운 리더쉽, 보고능력 우수, 신속한 사업추진 부하 중심의 쌍방향 커뮤니케이션 능력이 우수함",,
501,장점,"소통능력과 업무실행력이 뛰어나며, 경영진과 소통능력을 바탕으로 비전을 제시할 수 있으며 판단력이 탁월함",,
502,장점,고객에게 친절하십니다,,
503,단점,주어진 업무처리에 대한 열정과 책임감이 높다,,
504,단점,처음이라 가끔 실수가 있어요,,
505,단점,조금만 고객에게 친절했으면 함,,
506,단점,좀 더 차분하고 세밀하게 업무추진 필요,,
507,장점,"부서원과의 적극적 의사소통, 민원 및 문제해결에 같이 동참하며 자발적 참여",,
508,장점,업무리처 능력,,
509,장점,매상에 적극적이며 타의 모범이 되는 직원임,,
510,단점,근무시간 유튜브 자제,,
511,장점,맡은 업무를 열심히 노력함,,
512,장점,본부의 홍보 및 예산전문가 이며 실적이 매우 우수함,,
513,장점,"업무에 대한 열정, 이해심이이 뛰어남",,
514,장점,"일처리 정확성, 협동성 측면에서 우수 합니다",,
515,장점,부드러운 리더쉽으로 조직 성과창출에 기여함,,
516,장점,매끄러운 민원 응대,,
517,장점,"대전세종충남본부가 뛰어난 성과를 달성할 수 있도록 노력하시며, 업무 전반에 열의를 엿볼 수 있습니다",,
518,단점,업무처리속도만을 중요시하게 생각하는것같습니다,,
519,장점,업무뿐만아니라 직원들 및 고객에게도 늘 친절합니다,,
520,장점,수평적 의사소통 과 부드러운 리더십으로 문제해결에 앞장 섬,,
521,단점,이외의 보완필요점은 없다,,
522,장점,전문성 및 통찰력을 바탕으로 세세한 업무지시,,
523,단점,변전건설업무에 대한 다양한 지식을 보유하고 있음,,
524,장점,책임감 있는 모습으로 항상 업무 열의가 있으며 본부 성과에 기여함,,
525,단점,정보 공유와 소통에 보다 긍정적일 필요,,
526,장점,조용하고 세심한 성격으로 자신의 소임을 모두 처리함,,
527,단점,최악 무능력 무개념 최악 최악 최악 무능력 무능력 무개념 무개념 상식없음 눈치없음 이기적임 직원들퇴사시키는 최악의상사 최악그자체 직원들힘들게하는원인 남탓 남탓을너무많이함,,
528,장점,항상 밝고 활발한 모습이 직원들에게 편안함을 주는것 같아 장점이 되는거 같습니다,,
529,장점,열정적인 자세로 리더쉽 발휘,,
530,장점,업무에대한 관심도와 이해도가 높고 열의가 높습니다,,
531,장점,특유의 꼼꼼함으로 업무처리 능력이 뛰어나다,,
532,단점,새로운 소프트웨어 활용 능력보완이 필요하다,,
533,장점,기본적인 머리가 똑똑해서 일을 금방 배웁니다,,
534,단점,ㅇ 근무시간에 사적적통화가 빈번하며 타인에 대한 배려 부족,,
535,장점,활기찬 목소리로 아침 출근시 인사을 하시며 사무실 분위기가 너무 좋음,,
536,장점,부드럽고 적극적인 업무 추진,,
537,장점,"팀원들과 화합이 매우 잘됨,",,
538,장점,직원들을 살피는 따뜻함과 동시에 배려심이 있으시다,,
539,단점,지금처럼 성실한 자세로 업무 전문성을 키우면 좋겠습니다,,
540,단점,자기 주장이 강하고 아래 직원과 소통이 부족,,
541,장점,팀내 건강한 분위기를 만드며 유연한 대처능력,,
542,장점,"항상 적극적이고 긍정적으로 업무에 임하여, 주변 동료들에게도 좋은 영향을 미칩니다",,
543,단점,업무처리나 팀직원의 관리에 있어 보완할 사항이 없는 것 같습니다,,
544,장점,항상 기준서를 숙지하여 정확하고 탁월한 업무해결능력을 가졌음,,
545,단점,조직원들에게 또 조직에 기여했음 좋겠음,,
546,장점,상대방의 의견을 경청하고 상하간 원할한 교류 우수,,
547,장점,"리더쉽이 높고, 이해심이 넓으며, 전문성이 높다",,
548,장점,업무에 대한 충실도가 적당합니다,,
549,단점,직원들과의 원할한 소통으로 좋은 사무실 분위기를 만듬,,
550,단점,업부분장상 직무를 타 직원에게 넘김,,
551,장점,"묵묵히 맡은 바에 최선을 다하며, 어려운 일도 마다않고 적극적으로 임합니다",,
552,장점,친절하며 적극적으로 업무에 임함,,
553,장점,다년간의 업무 지식으로 노련하게 업무를 처리하고 있음,,
554,단점,현실과 상황은 배제하고 이상적으로만 업무를 추진하여 애로사항과 막힘이 많음,,
555,장점,제어쪽의 해박한 지식으로 업무에 자신감이 있음,,
556,단점,조직의 선임으로서 리더십이 기대됨,,
557,장점,투철한 책임감으로 맡은 바 임무를 완수하고자 노력함,,
558,장점,부서를 이끌어나가는 본인의 색깔이 뚜렷합니다,,
559,장점,맡은 바 업무에 항상 최선을 다하고 다른 직원들을 도와주는 등 본인 일에 대한 책임 타인에 대한 배려와 같은 윤리의식이 뛰어남,,
560,장점,직원들에게 편안하게 다가와주심,,
561,장점,구성원의 자발적 참여유도 및 적극적인 업무자세,,
562,단점,많은 경험을 가지고 계시지만 최근의 상황이 아닌 구시대의 상황을 많이 대입시켜 업무를 처리하시는 경향이 있습니다,,
563,장점,목표지향적이며 열정적임,,
564,장점,잘   모   릅   니   다,,
565,단점,보완필요점 없음으로 특이사항 없음,,
566,장점,"항상 솔선수범하고, 성실하게 업무를 수행함",,
567,단점,구성원들과 잘 어울리고 구성원이 활력요소,,
568,단점,직원들과 자주 볼 수 있으면 좋을것 같습니다,,
569,단점,업무 외적인 불평불만이 많음,,
570,장점,업무에 대한 전문성과 경험으로 동료를 도와주려 노력함,,
571,단점,완벽한 지성과 유머를 겸비하셨습니다,,
572,단점,조금 더 적극적인 업무태도,,
573,장점,순회점검팀 업무 최적화,,
574,장점,일 처리가 적극적이고 동료와의 소통이 원활함,,
575,단점,업무의 전문성을 높이기 위한 노력이 필요함,,
576,장점,유연한 사고와 소탈한 성품으로 부하직원들과 친근하게 소통합니다,,
577,단점,문제해결능력 보완 필요,,
578,장점,업무에 대한 열의와 업무효율성을 갖추고 있습니다,,
579,장점,"온화한성품, 모범이됨",,
580,장점,업무의 전문성과 부서의 화합에 앞장섬,,
581,장점,항상 진단업무에 너무 고생이 많고 열심히 하는 분,,
582,장점,매사에 솔선수범 하며 세심한 관찰로 업무에 기여함,,
583,장점,"적극적, 열정적 배우고자 하는 의지 강함",,
584,단점,퇴사한 직원입니다,,
585,장점,성실하고 솔선수범으로 업무능력이 탁월함,,
586,장점,편안한 분위기 조성에 힘써주십니다,,
587,장점,내선업무에 대한 업무추진이 뛰어남,,
588,장점,직원들과 업무를 같이 처리하며 힘을 줍니다,,
589,장점,"또한 적극적 소통능력과 문제해결, 열정과 도전의식으로 조직발전을 위해 실천하고 헌신함",,
590,장점,"추진력이 강하고, 강한 확신으로 팀원을 이끌 수 있음",,
591,단점,많은 업무를 감당하여 다른 업무와의 혼동이 있는 경우가 종종있다,,
592,장점,맡은바 직무 충실한 수행,,
593,단점,온화적인 리더쉽이 필요함,,
594,단점,"저연차 직원에게 업무미루기 심하며 업무분장만 봐도 알수 있듯이 요금업무의 경우 조정구때문에 쉴날이 없다며 본인 조정구는 미루며 다른 직원의 조정구는 변동사항없음, 조직내갈등 유발",,
595,단점,운영실의 입장만을 고수하기보다는 고객의 입장에서 생각하는 유연한 사고가 필요해 보임,,
596,장점,장점으로 보여지는 부분이 없었음,,
597,단점,대인관계 원활한 관계유지,,
598,장점,"직원들과의 소통을 위해 노력하며, 명확한 업무지시로 효율성을 높임",,
599,장점,부드러운 리더십을 가지고 있음,,
600,장점,전문적인 업무지식으로 업무 수행능력이 좋음,,
601,장점,"협업능력, 윤리의식 좋음",,
602,장점,모르는건 알려고 노력하고 안되는건 되게 하려고 노력합니다,,
603,장점,전문성과 윤리의식을 가지고 있음,,
604,장점,"중간 관리자로서 직원가 간부 모두 잘 챙기며, 업무 능력이 매우 뛰어납니다",,
605,단점,장점이 많은게 장점입니다,,
606,장점,적극적인 업무능력으로 타의 모범이 됨,,
607,단점,"타 부서와의 협업능력이 필요함, 타 직원의 의견을 들을 필요가 있음, 윤리의식도 필요함",,
608,단점,직원간의 소통이 다소 부족,,
609,단점,"기타 업무처리에 있어서 감정적으로 대할 때가 많이 있음, 이성적으로 대할 필요성 있음",,
610,단점,어투가 다소 공격적으로 들림,,
611,장점,"유연한 사고력, 풍부한 스킨쉽",,
612,단점,개인건강관리를 위한 일과 휴식의 균형이 필요합니다,,
613,장점,"업무에 대한 열정, 이해심이 뛰어나고, 직무에 대한 책임감과 전문성을 두루 갖추고 있음",,
614,단점,특별한 보안 사항 없습니다,,
615,장점,중간관리자로서의 자질이 있음,,
616,단점,업무 전반적인 경험이 더 많아 진다면 완벽할거 같습니다,,
617,장점,"규정, 규칙을 잘 지킴",,
618,장점,엑셀활용 능력이 뛰어나고 탁월한 업무처리 능력,,
619,단점,업무 추진능력을 함양시키면 더 훌륭한 직원이 될 것 같습니다,,
620,장점,업무처리 능력이 매우 탁월하고 적극적이다,,
621,단점,업무를 처리함에 있어서 조금 더 꼼꼼하면 좋겠음,,
622,장점,판단력이 빠르며 풍부한 업무지식을 겸비함,,
623,단점,주변동료들과 잘어울릴 필요가 있음,,
624,장점,장시간 업무를 바라봄,,
625,장점,업무에 대한 세부적인 검토가 뛰어남,,
626,장점,지정된 업무에 책임을 다하심,,
627,단점,PPT 작성능력 부족,,
628,단점,잘 알지 못하는 직원임,,
629,장점,"건강한신체, 타인 친화력",,
630,단점,"담당하는 업무 관련해서 질의했을 때 무성의하게 답변할 때가 있음, 타 직군에 대한 이해도가 떨어짐",,
631,장점,"부드러운 리더십으로 직원들과 의사소통에 앞장서며, 직원 및 간부들의 자발적 업무를 유도함",,
632,단점,거시적 관점에서 새로운 대안 모색이 미흡,,
633,단점,소극적인 업무태도가 있음,,
634,장점,다른 사람에 모범을 보이려는 태고,,
635,단점,무리되거나 무의미한 지시사항에 대한 커트 필요,,
636,단점,부드러운 리더십이 필요해 보인다,,
637,장점,맡은 업무가 많고 열정적임,,
638,장점,성실하고 긍정적이며 부서화합에 일조함,,
639,단점,고객과의 원만한 소통능력 필요,,
640,장점,활발하시고 업무의 열정적이시고 사람과의 대화를 좋아하심,,
641,장점,투철한 윤리의식으로 총무업무를 수행하는데 장점이 있다,,
642,장점,본인이 맡은 업무를 최선을 다합니다,,
643,장점,ICT 전문지식과 리더십을 바탕으로 K 그리드 사업에 핵심적인 역할을 수행,,
644,장점,신입으로 배우고자하는 확고한 자세와 노력이 뛰어남,,
645,장점,/////////////////,,
646,단점,다른 부서와 업무적으로 부담스러운 일이나 관계를 안만드십니다,,
647,장점,업무 능력이 탁월한 직원 입니다,,
648,단점,보완필요점이 없으며 직장생활의 모범이 됨,,
649,단점,열성적이고 적극적인 업무관련 지식습득이 필요,,
650,단점,신규접수 담당으로 보완이 필요없음,,
651,장점,업무에 대한 열정이 뛰어나며 확고한 신념을 가짐,,
652,장점,항상 엄마같은 마음이다 배려해주려 노력한다,,
653,단점,어떤일이든 뭐든지 아주 잘합니다,,
654,단점,개인업무와 회사비전연계/,,
655,단점,업무 우선순위를 생각하여 효율성을 높이면 좋겠음,,
656,단점,직원들간에 많은 소통을 요함,,
657,단점,타부서와 소통을 강화할 필요가 있음,,
658,장점,성실하고 경청하는 자세로 모범이 됨,,
659,장점,"부드러운 카리스마, 업무경험 풍부",,
660,장점,선배로써 좋은 모습을 보여줌,,
661,장점,맡은 업무(PPA)에 책임감이 강하다,,
662,단점,"건강관리로 업무 열의가 부족하고 직원과 소통이 안됨, 간부로서의 자질이 떨어짐",,
663,장점,다양하고 원만하게 업무를 대함,,
664,단점,특별히 보완해야할 사항이 없어 보임,,
665,장점,업무에 관심이 많고 적극적인 자세로 임합니다,,
666,장점,직원들 근무환경 배려를 잘해주심,,
667,장점,"솔선수범하는 자세, 맡은업무에 최선을 다함",,
668,단점,업무에 대한 전문성을 조금 향상시킬 필요가있으나 지금도 나쁘지 않다,,
669,장점,"운영 실장님으로써 늘 힘든일 먼저 나서서 하시며, 업무에 굉장히 협조적",,
670,장점,"업무처리 우선순위 결정, 최적의 판단, 신속한 의사결정",,
671,장점,"업무 관련자료 수집, 데이터 분석 능력",,
672,장점,동료들과의 원활한 의사소통과 적극적인 업무로 인하여 동료들에게 도움이 된다,,
673,단점,타 부서의  업무를 아우름,,
674,장점,"직원들을 배려해 주는 부드러운 리더십, 탁월한 업무이해력을 바탕으로 한 업무추진",,
675,단점,다방면의 경험을 쌓으면서 역량을 키우자,,
676,단점,"책임감, 전문성, 업무능력",,
677,장점,솔선수범 능숙한 업무처리 등,,
678,장점,업무 성실성 높음,,
679,장점,"김현중대리는 윤리의식이 좋고, 업무열의가 좋습니다",,
680,단점,상하직원간 원활한 교류 친화력,,
681,단점,"적절한 상호작용, 상대방의 의견 경청을 잘함",,
682,장점,업무열정이 뛰어나며 후배사원들에 대한 귀감이 됨,,
683,장점,구성원들의 자발적인 소통유도,,
684,장점,협업능력과 윤리의식을 바탕으로 업무성과 창출,,
685,장점,맡은일에 대해 열심히하려고 하심,,
686,장점,신속한 의사결정 능력이 뛰어납니다,,
687,장점,"환경병화를 감지, 예측하고 유연하고 구체적인 계획을 수립하여 관리합니다",,
688,장점,직원들과 늘 협력함,,
689,장점,안전에 대한 업무관심 및 관리가 꼼꼼하다,,
690,장점,창의적 도전 격려를 위해 힘쓰십니다,,
691,장점,주어진일을 잘함,,
692,단점,동료와 협조적으로 근무할 필요가 있음,,
693,장점,"업무 전문성, 참여도, 문제 해결 능력 및 리더쉽 탁월",,
694,장점,"항상 고객응대 시 적극적으로 임하며, 직원과의 협력 및 소통이 원할 함",,
695,장점,지원위원장님으로서 뛰어난 리더십과 훌륭한 성품을 가지고 있음,,
696,장점,직원들과의 소통을 통하여 항상 좋은 환경을 만들어 주기 위해서 노력하십니다,,
697,장점,업무 내외적으로 긍정적인 마인드가 있다,,
698,단점,업무를 같이 해보는 경험이 생기면 좋겠습니다,,
699,장점,"근면,성실이 대단히 뛰어 납니다",,
700,단점,"경청하는 자세, 업무에 대한 책임감 및 근태준수 필요",,
701,장점,항상 밝은 모습으로 업무에 임하시는 모습이 보기 좋습니다,,
702,장점,매사 책임감있고 적극적인 자세로 업무를 처리함,,
703,장점,우선 순위를 정하여 해결책을 제시하고 소통이 뛰어남,,
704,장점,업무에 대해서 잘 모르겠습니다,,
705,장점,교대근무중에도 꾸준한 자기관리를 통해서 컨디션을 유지하며 고장상황에 정확하고 신속하게 고장을 해결합니다,,
706,단점,다른 직원들과 대화할때 벽을 좀 치는거 같습니다,,
707,장점,전문 자격증 보유하고 있어 전문지식이 뛰어나고 현장 경험도 풍부함,,
708,단점,"업무열의, 협업능력",,
709,단점,솔선수범하여 업무를 처리하고 기획력도 뛰어나며 원만한 성격으로 위아래 신임이 높음,,
710,장점,"꾸준한 자기관리를 통해서 컨디션을 유지하며, 좋은 의사소통으로 후배들을 가르쳐주시는 모습이 존경스럽습니다",,
711,장점,직무 범위 내에서 상사의 관리감독 없이 맡겨진 일을 잘 수행함,,
712,장점,전자파 차폐기술의 전문가 입니다,,
713,장점,"맡은일을 항상 성실히 수행하며, 직원들을 섬세하게 챙겨주고 좋은 분위기를 이끌어나갑니다",,
714,장점,"부서원들과 소통은 물론이며, 업무열의 및 전문성, 협업능력이 탁월하셔 부서장으로서 아주 훌륭하십니다",,
715,장점,매사 업무에 열정적임 팀 분위기를 잘 이끔,,
716,단점,문제해결을 위해 노력하며 커뮤니케이션을 잘하고 있음,,
717,장점,맡은 업무에 적극적이고 문제해결을 위해 노력함,,
718,장점,업무에 열정을 가지고 있으며 적극적이고 전문적인 지식으로 기술적인 오류나 문제점을 찾아서,,
719,단점,단순 부점 이외에도 추후를 위해서 전문성이 필요하다고 생각,,
720,단점,지적할 사항이 별도로 없음,,
721,장점,딱히 아는 장점은 없습니다,,
722,장점,직원배려를 잘해주심,,
723,장점,부드러운 리더십으로 소통함,,
724,장점,전문적인 지식 및 빠른 업무처리,,
725,장점,"맡은바 업무를 충실히 수행하며, 책임을 다함, 업무상 특별히 보안필요 사항 없음",,
726,단점,개인의 감정에 치우치는 경우가 있음,,
727,장점,유연한 사업소 조직관리로 직원 근무여건 개선 기여,,
728,단점,업무에 대한 전문성이 뛰어남,,
729,장점,전문성을 가지고 맡은 역할을 최선을 다해 수행,,
730,단점,배전계획 업무를 통해 지식을 확장하시면 더 좋을 것 같습니다,,
731,단점,높은 윤리의식 보유 신속한 의사결정,,
732,장점,업무에 적극적이고 전문성이 있으며 솔선수범함,,
733,장점,"현장 경험 풍부, 수평적 의사소통",,
734,장점,업무애 대한 책임감,,
735,장점,다양한 부서 및 파트별 지식까지 갖추고 있어서 참 대단한 과장이라고 생각합니다,,
736,장점,업무에 대한 이해력이 뛰어남,,
737,단점,"없음, 없음 없음, 없음, 없음",,
738,장점,매사 솔선수범하며 업무에 성실히 임하며 직원들과 소통을 잘함,,
739,장점,"솔선수범하며, 즐거운 직장 분위기 조성",,
740,장점,밝은 성격으로 책임감있고 성실함,,
741,장점,항상 얼굴에 미소가 있으시고 직원들에게 관심을 가져주셔서 편안하게 다가갈수가 있습니다,,
742,단점,타부서 입장에서 사고 및 유연한 업무태도 필요함,,
743,장점,전문성을 가진 업무처리능력 뛰어남,,
744,장점,웃는 얼굴르 주변 사람에게 밝은 기운을 줌,,
745,단점,지시하는 업무량이 과도할때가 있음,,
746,단점,"아니라고 하지만 일을 넘기려고 할 &#46468;가 많고, 입으로만 일하려함",,
747,장점,상대방의 의견 경청이 뛰어남,,
748,장점,주변인과 잘지냄,,
749,장점,노련하며 목표지향적인 모습이 돋보임,,
750,단점,비리에 연루되지 않는 높은 인격적 소양,,
751,장점,적극적인 업무 수행자세,,
752,단점,"건강해지도록 노력, 강해져아함",,
753,단점,IT트렌드 대한 관심 적음,,
754,단점,업무에 대한 엄청난 열정을 가짐,,
755,장점,"업무에 대한 열의가 높고, 책임감이 강함",,
756,단점,"조직에 잘 융화되며, 적극적임",,
757,단점,타인과 협업이 어려움,,
758,장점,주어진 업무의 완성도를 위해 성실하고 적극적임,,
759,장점,항상 밝은 모습으로 주변을 즐겁게하고 업무에 최선을 다함,,
760,단점,부하직원들과의 커뮤니케이션,,
761,장점,"직원간 원활한 교류, 친화력 우수",,
762,장점,하시는 일에 대해서 책임감있게 수행한다,,
763,장점,매끄러운 민원업무 처리를합니다,,
764,단점,부서간 유대관계 형성에 노력하는 자세필요,,
765,장점,매사에 리더쉽을 발휘하며 직원과 소통과 화합을 일궈냅니다,,
766,단점,부서원들과 지금보다 조금 더 많은 소통의 시간을 가졌으면 함,,
767,장점,상하소통과 배려를 통한 협업 분위기 조성에 뛰어나다,,
768,장점,직원들이 업무하는과정에 애로사항이 있으면 먼저 다가오셔서 조언및 민원해결을 해주심,,
769,단점,진취적이고 자발적인 조직생활,,
770,장점,부서 현안을 혼자서 정리해서 제출하는 경우가 많고 배려심도 많음,,
771,단점,열심히 일을 하긴 하나 성과가 미진,,
772,단점,새로운 스프트웨어 활용,,
773,장점,맡은 업무에 적극적이고 열의를 보임,,
774,장점,"업무협업, 전문성 등 떨어지는게 없다고 생각함",,
775,단점,잦은 이석등으로 업무 열의 부족,,
776,단점,성실한 업무자세로 모범이 됨,,
777,단점,"업무 열정적임, 다른 사람일도 외면하지 않고 도와주려고 함",,
778,단점,해당사항이 없음으로 판단,,
779,단점,전력설비 순시점검의 최적임자로 보완필요 없음,,
780,장점,상대방과 원활한 소통을 위한 부드러운 인품 소지,,
781,장점,부드러운 리더십을 소유하시며 현장안전관리 및 직원안전관리에 만전을 기하십니다,,
782,단점,"하위직원간 소통의지, 친밀감에 좀더 신경쓸 필요가 있음",,
783,단점,보완할점은 찾아볼수 없다,,
784,장점,"과감한 도전, 비용절감, 솔선수범의로 어려움 극복, 새로운 도전의식, 공정한 업무수행, 상대방에 대한 이해력 뛰어남",,
785,장점,자발적 참여와 부드러운 의사소통으로 협업도 잘 되고 있습니다,,
786,장점,열정이 넘침,,
787,장점,다년간의 경험으로 업무지시와 업무방향설정등이 탁월하며 직원들의 원활한 소통능력과 배져심이 좋으십니다,,
788,단점,업무에 열정적으로 임하는 자세를 지님,,
789,단점,간혹 업무 일정을 놓치는 경우가 있음,,
790,단점,업무 및 부서에 큰 관심이 없는듯 합니다,,
791,장점,매사업무추진에 공정사고 합리적이시고 미래지향적으로 업무에 임하고 있습니다,,
792,장점,조직과의 소통능력에 뛰어나다,,
793,단점,너무 본인의 팀 위주로 이기적인 사고를 드러냄,,
794,장점,"적극적으로 솔선수범하고, 직원들가 협의하여 합리적인 사고를 통한 직원들의 유대관계",,
795,장점,"맡은 업무를 최선을 다하고, 어려운 업무도 솔선수범함",,
796,단점,업무의 방향 프로세스 이해가 어려움,,
797,장점,주어진 일을 잘 처리함,,
798,단점,"업무에 대한 지식, 라떼는 말야, 음주",,
799,단점,열심히 일할수 있도록 더욱더 분발,,
800,장점,업무에 적극적이며 새로운 아이디어가 풍부함,,
801,장점,전문적 지식과 더불어 직원들과 교류가 원활합니다,,
802,단점,같이 근무할 기회가 부족,,
803,단점,업무 추진능력 보완,,
804,장점,"정정에 대해 시험팀의 피드백을 적극적으로 반영하고, 배우려는 의지가 강함",,
805,단점,업무에 조금 더 적극적이었으면 좋겠습니다,,
806,단점,자기주장이 좀 더 필요합니다,,
807,단점,업무상으로는 없습니다,,
808,단점,업무에 있어서는 열정이 뛰어나지는 않음,,
809,장점,"온화한 성격, 자기계발에 집중, 자기관리에 철저",,
810,장점,부드러운 대인관계 부단한 자기노력,,
811,장점,"업무지식, 열정,자기개발",,
812,장점,"부드러운 리더십, 소통 능력",,
813,장점,업무태도가 적극적이고 성실함,,
814,장점,상대방의 의견 경청 및 업무 이해도가 높음,,
815,장점,"업무역량과 집중력이 매우 좋음, 새로운 분야와 전문지식을 보유하고 있음",,
816,단점,적극적이고 과묵하게 업무를 수행함,,
817,단점,변화관리에 약한것 같다,,
818,단점,업무를 수동적이고 소극적으로 임함,,
819,장점,"전문성, 책임감, 협업능력",,
820,단점,도전적 목표설정과 과감한 도전으로 업무 수행,,
821,장점,매사에 적극적이고 꼼꼼하게 일처리 하십니다,,
822,단점,"본인이 해야할 업무를 타인에게 미루며, 고객응대에 있어서 소극적인 태도를 보임",,
823,단점,"타 직원과의 협동, 협조 능력이 필요함",,
824,단점,적극적인 모습도 좋지만 전체적으로 바라보는 시각도 필요함,,
825,장점,도전적 목표 설정 과ㅏㄱㅁ,,
826,장점,유쾌한 언행으로 가족같은 사무실 분위기를 만들어 주심,,
